"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"IC2";"1072";1;"1072";;;
2;"IC1";"SOIC127P600X175-8N";1;"PCF8523T_1,118";;;
3;"R15,R14";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";2;"5k";;;
4;"R13";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"13k";;;
5;"R12";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"2k";;;
6;"C17,C10,C12";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";3;"10uF";;;
7;"U7";"MCP3425";1;"MCP3421A0T-ECH";;;
8;"U5";"SOIC-14_3.9x8.7mm_P1.27mm";1;"SN74HC125D";;;
9;"C1,C3,C4,C14,C15,C16";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";6;"1uF";;;
10;"C2,C5,C8,C9,C11,C13";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";6;"0.1uF";;;
11;"C6,C7";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";2;"20pF";;;
12;"D1,D2,D3";"LED_D3.0mm_Clear";3;"2460-L314HD-ND";;;
13;"J1";"PinSocket_2x20_P2.54mm_Vertical";1;"Conn_02x20_Odd_Even";;;
14;"J2";"TerminalBlock_Phoenix_MPT-0,5-2-2.54_1x02_P2.54mm_Horizontal";1;"Screw_Terminal_01x02";;;
15;"J3";"TerminalBlock_Phoenix_MPT-0,5-5-2.54_1x05_P2.54mm_Horizontal";1;"Screw_Terminal_01x05";;;
16;"J4";"USB_Micro-B_Molex-105017-0001";1;"USB_B_Micro";;;
17;"J5";"PinHeader_2x03_P2.54mm_Vertical";1;"ISP Header";;;
18;"Q1";"TO-220-3_Vertical";1;"FQP_27P06";;;
19;"Q2";"TO-92_Inline";1;"2N3904";;;
20;"R1,R10";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";2;"470";;;
21;"R2,R3,R4,R5,R6,R7,R11";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";7;"10k";;;
22;"R8,R9";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";2;"1k";;;
23;"SW1,SW2";"SW_PUSH_6mm";2;"611-PTS645SL43SMTR92";;;
24;"SW3";"SW_DIP_SPSTx02_Slide_9.78x7.26mm_W7.62mm_P2.54mm";1;"1825057-1";;;
25;"U1";"SOT-23_Handsoldering";1;"MCP1703A-3302_SOT23";;;
26;"U2";"TQFP-32_7x7mm_P0.8mm";1;"ATmega328P-AU";;;
27;"U3";"SSOP-28_5.3x10.2mm_P0.65mm";1;"FT232RL";;;
28;"U4";"SOIJ-8_5.3x5.3mm_P1.27mm";1;"25LC1024-E/SM";;;
29;"U6";"Converter_DCDC_TRACO_TSR-1_THT";1;"TSR_1-2450";;;
30;"Y1";"Crystal_SMD_Abracon_ABM3-2Pin_5.0x3.2mm";1;"F90800021";;;
31;"Y2";"Crystal_SMD_2012-2Pin_2.0x1.2mm_HandSoldering";1;"LFXTAL050789REEL";;;
